"順位","管理No","合計スコア"
"1021","KA170003","513"
"1022","KA070189","513"
"1023","TK060300","513"
"1024","IB070028","513"
"1025","IB070042","513"
"1026","CH040089","513"
"1027","KA110072","513"
"1028","IB040266","513"
"1029","IB050014","513"
"1030","CH040035","512"
"1031","GU030029","512"
"1032","KA110087","512"
"1033","KA010029","512"
"1034","IB080032","512"
"1035","TK060177","512"
"1036","KA020014","512"
"1037","IB040377","512"
"1038","IB040067","512"
"1039","NA060050","512"
"1040","TK060262","512"
"1041","IB040029","512"
"1042","KA070040","512"
"1043","IB010036","511"
"1044","KA070048","511"
"1045","SA090009","511"
"1046","YA010065","511"
"1047","YA010043","511"
"1048","YA010064","511"
"1049","IB100065","511"
"1050","KA010163","511"
"1051","TK130039","511"
"1052","IB040006","511"
"1053","KA160136","511"
"1054","TK050037","511"
"1055","KA110041","511"
"1056","KA070067","511"
"1057","TK060336","510"
"1058","KA160196","510"
"1059","NA060016","510"
"1060","IB010015","510"
"1061","KA150135","510"
"1062","TK090012","510"
"1063","IB040155","510"
"1064","TK060199","510"
"1065","IB040119","510"
"1066","CH020001","510"
"1067","KA110169","510"
"1068","KA070198","510"
"1069","KA080037","509"
"1070","KA070172","509"
"1071","YA010083","509"
"1072","KA070016","509"
"1073","YA010074","509"
"1074","IB010028","509"
"1075","GU040095","509"
"1076","KA110092","509"
"1077","TK130080","509"
"1078","IB040200","509"
"1079","GU030046","508"
"1080","KA070072","508"
"1081","GU030171","508"
"1082","IB100082","508"
"1083","KA110094","508"
"1084","TK060143","508"
"1085","CH010074","508"
"1086","CH010074","508"
"1087","KA110140","508"
"1088","KA080016","508"
"1089","YA010037","507"
"1090","KA020030","507"
"1091","KA020042","507"
"1092","KA010103","507"
"1093","KA110181","507"
"1094","CH010047","507"
"1095","IB040327","507"
"1096","GU020065","507"
"1097","CH010032","507"
"1098","TK130052","507"
"1099","SA130019","507"
"1100","IB040236","507"
"1101","CH010040","507"
"1102","CH040215","507"
"1103","KA110021","506"
"1104","IB070005","506"
"1105","TK130057","506"
"1106","KA150032","506"
"1107","NA030021","506"
"1108","KA110117","506"
"1109","IB050002","506"
"1110","KA160190","506"
"1111","GU010033","506"
"1112","NA060013","505"
"1113","KA120002","505"
"1114","KA070074","505"
"1115","YA010069","505"
"1116","KA010188","505"
"1117","IB040360","505"
"1118","GU030180","505"
"1119","TK040152","505"
"1120","YA040023","505"
"1121","KA150066","504"
"1122","CH030011","504"
"1123","KA160192","504"
"1124","YA010057","504"
"1125","YA010041","504"
"1126","KA010014","504"
"1127","KA160182","504"
"1128","SA130001","504"
"1129","GU010046","504"
"1130","IB080088","504"
"1131","TC040007","504"
"1132","KA160052","504"
"1133","GU030217","504"
"1134","KA080063","504"
"1135","GU030169","504"
"1136","KA110113","503"
"1137","KA110120","503"
"1138","GU030214","503"
"1139","CH040015","503"
"1140","IB040131","503"
"1141","KA110076","503"
"1142","KA010095","503"
"1143","TK040084","503"
"1144","IB070011","503"
"1145","CH020035","503"
"1146","KA020028","503"
"1147","KA110129","502"
"1148","CH040122","502"
"1149","KA070007","502"
"1150","KA160200","502"
"1151","IB070045","502"
"1152","YA010009","502"
"1153","IB010018","502"
"1154","IB040009","502"
"1155","IB070020","502"
"1156","KA150148","501"
"1157","KA150003","501"
"1158","KA120033","501"
"1159","KA160047","501"
"1160","KA150010","501"
"1161","IB040222","501"
"1162","KA020056","501"
"1163","CH040217","501"
"1164","KA070070","501"
"1165","KA070117","501"
"1166","CH010078","501"
"1167","GU020022","501"
"1168","KA110051","501"
"1169","IB100037","501"
"1170","TK130056","500"
"1171","GU030161","500"
"1172","YA010002","500"
"1173","KA020065","500"
"1174","GU020024","500"
"1175","KA110082","500"
"1176","IB020008","500"
"1177","IB050024","500"
"1178","IB040004","500"
"1179","IB040077","500"
"1180","CH040124","500"
"1181","YA010052","500"
"1182","KA070190","500"
"1183","IB040304","499"
"1184","KA110205","499"
"1185","NA030001","499"
"1186","CH040032","499"
"1187","IB100030","499"
"1188","KA150045","499"
"1189","CH030012","499"
"1190","SA060005","499"
"1191","KA010005","498"
"1192","KA160104","498"
"1193","NA060010","498"
"1194","KA110168","498"
"1195","KA110064","498"
"1196","KA020045","498"
"1197","GU010004","498"
"1198","GU030224","498"
"1199","KA110171","498"
"1200","TK060263","498"
"1201","KA110019","497"
"1202","NA030051","497"
"1203","KA020058","497"
"1204","SA130027","497"
"1205","YA010086","497"
"1206","KA160157","497"
"1207","GU030122","497"
"1208","GU030117","497"
"1209","KA150056","497"
"1210","IB010007","497"
"1211","KA160188","497"
"1212","GU020021","497"
"1213","GU030098","497"
"1214","KA010024","497"
"1215","KA070057","497"
"1216","YA010088","497"
"1217","TK040180","497"
"1218","KA070127","497"
"1219","KA010023","497"
"1220","KA160164","497"
"1221","IB080090","496"
"1222","KA070199","496"
"1223","YA010008","496"
"1224","GU020038","496"
"1225","GU050012","496"
"1226","IB010005","496"
"1227","KA010134","496"
"1228","KA150051","496"
"1229","KA150073","496"
"1230","KA150111","496"
"1231","KA160007","496"
"1232","KA110089","496"
"1233","KA160175","496"
"1234","KA020050","496"
"1235","TK130065","496"
"1236","KA010008","496"
"1237","CH040139","496"
"1238","KA070137","495"
"1239","NA060008","495"
"1240","IB080081","495"
"1241","NA060058","495"
"1242","SA020010","495"
"1243","KA150029","495"
